ds,value,source
2025-12-16 09:25:00,380.994876575254,synthetic
2025-12-16 09:30:00,57.90933011819012,synthetic
2025-12-16 09:35:00,78.01304202763856,synthetic
2025-12-16 09:40:00,52.32263830108596,synthetic
2025-12-16 09:45:00,44.15081794255619,synthetic
2025-12-16 09:50:00,58.29569836318596,synthetic
2025-12-16 09:55:00,398.4410425899831,synthetic
2025-12-16 10:00:00,104.20766640125429,synthetic
2025-12-16 10:05:00,137.7084174766254,synthetic
2025-12-16 10:10:00,109.57594829015184,synthetic
2025-12-16 10:15:00,92.30578504162779,synthetic
2025-12-16 10:20:00,63.00286270765742,synthetic
2025-12-16 10:25:00,103.61624510323846,synthetic
2025-12-16 10:30:00,56.980077324491454,synthetic
2025-12-16 10:35:00,103.92098595455704,synthetic
2025-12-16 10:40:00,61.75881379430982,synthetic
2025-12-16 10:45:00,97.9767844489877,synthetic
2025-12-16 10:50:00,108.28546190447993,synthetic
2025-12-16 10:55:00,77.58072807497699,synthetic
2025-12-16 11:00:00,63.30459059357995,synthetic
2025-12-16 11:05:00,79.71197090983814,synthetic
2025-12-16 11:10:00,324.11893026983586,synthetic
2025-12-16 11:15:00,247.60802714520563,synthetic
2025-12-16 11:20:00,52.75098264768403,synthetic
2025-12-16 11:25:00,57.890450835992496,synthetic
2025-12-16 11:30:00,68.09998003107891,synthetic
2025-12-16 11:35:00,40.00686101619957,synthetic
2025-12-16 11:40:00,65.39453601283051,synthetic
2025-12-16 11:45:00,96.801735409583,synthetic
2025-12-16 11:50:00,54.18263386134384,synthetic
2025-12-16 11:55:00,57.19975801871242,synthetic
2025-12-16 12:00:00,118.67355063636184,synthetic
2025-12-16 12:05:00,314.7400857295929,synthetic
2025-12-16 12:10:00,92.5835796359429,synthetic
2025-12-16 12:15:00,72.79648848770961,synthetic
2025-12-16 12:20:00,140.89034937004962,synthetic
2025-12-16 12:25:00,80.50861738024336,synthetic
2025-12-16 12:30:00,70.33962768795713,synthetic
2025-12-16 12:35:00,187.7339981436749,synthetic
2025-12-16 12:40:00,99.85863972421218,synthetic
2025-12-16 12:45:00,110.613351045045,synthetic
2025-12-16 12:50:00,67.66753027783189,synthetic
2025-12-16 12:55:00,95.09360503203783,synthetic
2025-12-16 13:00:00,317.43135152383536,synthetic
2025-12-16 13:05:00,137.5589969357437,synthetic
2025-12-16 13:10:00,68.29395014575081,synthetic
2025-12-16 13:15:00,57.067857463564565,synthetic
2025-12-16 13:20:00,73.8583848925046,synthetic
2025-12-16 13:25:00,71.05953479780578,synthetic
2025-12-16 13:30:00,59.172544165815125,synthetic
2025-12-16 13:35:00,49.48927566916596,synthetic
2025-12-16 13:40:00,127.88648724594071,synthetic
2025-12-16 13:45:00,330.72178958425377,synthetic
2025-12-16 13:50:00,60.8326355328924,synthetic
2025-12-16 13:55:00,68.79257424220559,synthetic
2025-12-16 14:00:00,428.32274805289234,synthetic
2025-12-16 14:05:00,89.48526842547406,synthetic
2025-12-16 14:10:00,438.50500024275266,synthetic
2025-12-16 14:15:00,110.57036633303804,synthetic
2025-12-16 14:20:00,88.91978971304026,synthetic
2025-12-16 14:25:00,42.647106284837285,synthetic
2025-12-16 14:30:00,105.03974318782299,synthetic
2025-12-16 14:35:00,341.8528236601028,synthetic
2025-12-16 14:40:00,89.65141488127246,synthetic
2025-12-16 14:45:00,46.73519155115995,synthetic
2025-12-16 14:50:00,283.43139511198416,synthetic
2025-12-16 14:55:00,95.9430484318014,synthetic
2025-12-16 15:00:00,353.6837310840809,synthetic
2025-12-16 15:05:00,456.8053120953765,synthetic
2025-12-16 15:10:00,66.01648716188538,synthetic
2025-12-16 15:15:00,61.834722064397596,synthetic
2025-12-16 15:20:00,347.4789058512366,synthetic
2025-12-16 15:25:00,61.903949283577944,synthetic
2025-12-16 15:30:00,166.77573082659745,synthetic
2025-12-16 15:35:00,83.96030093966031,synthetic
2025-12-16 15:40:00,58.002616932087015,synthetic
