ds,y,source
2026-03-03 11:25:00,0.0,synthetic
2026-03-03 11:26:00,0.0,synthetic
2026-03-03 11:27:00,0.0,synthetic
2026-03-03 11:28:00,29.376158865328847,synthetic
2026-03-03 11:29:00,63.46403975184285,synthetic
2026-03-03 11:30:00,42.62067016115748,synthetic
2026-03-03 11:31:00,15.709435555054045,synthetic
2026-03-03 11:32:00,31.385157865133138,synthetic
2026-03-03 11:33:00,37.7970715558115,synthetic
2026-03-03 11:34:00,3.344186788637245,synthetic
2026-03-03 11:35:00,21.518125086863265,synthetic
2026-03-03 11:36:00,9.957797920335679,synthetic
2026-03-03 11:37:00,52.19748663744595,synthetic
2026-03-03 11:38:00,0.0,synthetic
2026-03-03 11:39:00,19.284887314919434,synthetic
2026-03-03 11:40:00,0.0,synthetic
2026-03-03 11:41:00,69.33627566585413,synthetic
2026-03-03 11:42:00,23.32916639715895,synthetic
2026-03-03 11:43:00,1.6105517328471315,synthetic
2026-03-03 11:44:00,12.939251890498271,synthetic
2026-03-03 11:45:00,0.0,synthetic
2026-03-03 11:46:00,0.0,synthetic
2026-03-03 11:47:00,0.0,synthetic
2026-03-03 11:48:00,0.0,synthetic
2026-03-03 11:49:00,35.53431533280015,synthetic
2026-03-03 11:50:00,62.166071296115916,synthetic
2026-03-03 11:51:00,10.934505024170459,synthetic
2026-03-03 11:52:00,18.300130693837392,synthetic
2026-03-03 11:53:00,41.08777597773135,synthetic
2026-03-03 11:54:00,22.670299961170052,synthetic
2026-03-03 11:55:00,4.286372586548266,synthetic
2026-03-03 11:56:00,28.407683220025977,synthetic
2026-03-03 11:57:00,38.08174152031095,synthetic
2026-03-03 11:58:00,19.558516316190442,synthetic
2026-03-03 11:59:00,5.998190238731148,synthetic
2026-03-03 12:00:00,1.9154978167685393,synthetic
2026-03-03 12:01:00,39.34493219717986,synthetic
2026-03-03 12:02:00,16.92956707260565,synthetic
2026-03-03 12:03:00,24.227112301013733,synthetic
2026-03-03 12:04:00,0.0,synthetic
2026-03-03 12:05:00,29.854233366791,synthetic
2026-03-03 12:06:00,0.0,synthetic
2026-03-03 12:07:00,26.911513062055217,synthetic
2026-03-03 12:08:00,29.025846608518158,synthetic
2026-03-03 12:09:00,35.99020662182012,synthetic
2026-03-03 12:10:00,0.0,synthetic
2026-03-03 12:11:00,28.162597716908483,synthetic
2026-03-03 12:12:00,38.465287611926726,synthetic
2026-03-03 12:13:00,11.221388097623638,synthetic
2026-03-03 12:14:00,35.21720986449497,synthetic
2026-03-03 12:15:00,6.769525869595954,synthetic
2026-03-03 12:16:00,9.051682920903334,synthetic
2026-03-03 12:17:00,35.69171707053667,synthetic
2026-03-03 12:18:00,32.14049311160109,synthetic
2026-03-03 12:19:00,45.80418931629898,synthetic
2026-03-03 12:20:00,14.250558065542197,synthetic
2026-03-03 12:21:00,55.34563137542838,synthetic
2026-03-03 12:22:00,49.49610979839427,synthetic
2026-03-03 12:23:00,0.0,synthetic
2026-03-03 12:24:00,0.0,synthetic
