ts,voltage,current,power,power_factor,active_power,energy,frequency
2024-01-01 00:00:00+00:00,230.30594495986097,2.4188595160140993,0.5125115084359168,0.92,0.5125115084359168,0.008541858473931945,50.02225938341758
2024-01-01 00:01:00+00:00,228.9370602375634,2.4085898571260227,0.5078795663948132,0.9210469849010751,0.5078795663948132,0.017006517913845498,50.00267071604253
2024-01-01 00:02:00+00:00,230.39502710990058,2.450220254517035,0.5205384417348783,0.9220926942123238,0.5205384417348783,0.025682158609426804,50.010932933194766
2024-01-01 00:03:00+00:00,230.18000277749442,2.411789905911411,0.5124749988057207,0.9231358538980297,0.5124749988057207,0.03422340858952215,49.99994688398406
2024-01-01 00:04:00+00:00,230.96790906613634,2.4722325578438213,0.5277099357180072,0.924175193028802,0.5277099357180072,0.04301857418482227,50.01715423051933
2024-01-01 00:05:00+00:00,230.4083547836371,2.341205064157406,0.4990886982814219,0.9252094453300079,0.4990886982814219,0.0513367191561793,49.99703283642308
2024-01-01 00:06:00+00:00,229.55374846096038,2.498306594456099,0.5311930855450518,0.9262373507245328,0.5311930855450518,0.060189937248596836,50.02317251033078
2024-01-01 00:07:00+00:00,230.158066728288,2.462947623211077,0.5256320104259257,0.9272576568679901,0.5256320104259257,0.0689504707556956,50.00892986961275
2024-01-01 00:08:00+00:00,228.335166555868,2.415727109386254,0.5120290250802841,0.9282691206745101,0.5120290250802841,0.07748428784036701,49.96834658678489
2024-01-01 00:09:00+00:00,230.3375059936535,2.380473738693076,0.5095305286766025,0.9292705098312485,0.5095305286766025,0.08597646331831038,49.983081827383856
2024-01-01 00:10:00+00:00,230.94527507044458,2.4429787233468088,0.5248478172115406,0.9302606042997701,0.5248478172115406,0.09472392693850272,50.013768803544814
2024-01-01 00:11:00+00:00,232.275388565385,2.427428467664725,0.5250617936114312,0.9312381978024774,0.5250617936114312,0.10347495683202658,50.005520804615294
2024-01-01 00:12:00+00:00,231.9812846570531,2.4522170902329075,0.5303003827477522,0.932202099292274,0.5303003827477522,0.11231329654448911,50.017149847454036
